"Submission ID","Respondent ID","Submitted at","Quelle est votre tranche d'âge ?","Sur quel support utilisez-vous le site ?","Le Libellé du texte était clair.","Le contenu (textes, images, sons, vidéos, etc.) était facile à comprendre.","Le texte était utile.","Le texte était pertinent.","Je pouvais rapidement connaître la structure du site web en parcourant sa page d'accueil","L'organisation du site web était claire","Dans chaque section du site web, les pages étaient bien organisées","Il était facile de trouver l'information dont j'avais besoin sur le site web.","Le site web m'a aidé à trouver ce que je cherchais","J'ai obtenu ce à quoi je m'attendais quand je cliquais sur des éléments du site web","Utiliser ce site web s'est fait sans effort","Utiliser ce site web m'a fatigué","J'ai appris à utiliser ce site web rapidement (1)","La mise en page à travers tout le site web était cohérente.","J'ai remarqué des changements soudains de mise en page à travers le site web.","J'ai appris à utiliser ce site web rapidement (2)","les couleurs m'ont aidé à distinguer les différentes sections du site web.","Les zones mises en évidence d'une page m'ont aidé à repérer l'information dont j'avais besoin","J'ai appris à connaître le contenu d'une page en parcourant les zones mises en évidence"
"rbyk0N","GXebV2","2024-09-19 10:31:01","26 à 40 ans","Ordinateur","5","5","5","5","5","5","4","5","5","5","4","1","5","5","1","5","4","4","5"
"DE2ZMq","6ADPE5","2024-09-19 10:31:41","0 à 25 ans","Ordinateur","5","5","4","5","5","5","5","5","4","5","5","1","4","5","1","5","5","5","5"
"ypZzp4","rGDqq2","2024-09-19 10:39:54","0 à 25 ans","Ordinateur","5","5","5","5","5","5","5","5","5","5","5","1","5","5","1","5","5","5","4"
"vvjKQ4","yjX7bB","2024-09-19 10:42:04","0 à 25 ans","Ordinateur","5","5","5","5","5","5","5","5","4","5","5","NA","5","5","4","5","1","5","5"
"PWjgM1","qo5eO5","2024-09-19 11:13:52","0 à 25 ans","Ordinateur","5","5","5","5","5","5","4","4","5","5","5","1","5","4","1","5","4","5","5"
"N95y4N","oK9Qge","2024-09-19 11:17:12","26 à 40 ans","Smartphone","5","5","5","5","5","5","5","5","5","5","5","1","5","5","1","5","5","5","5"
"p6x6Dy","58XDDo","2024-09-19 11:31:48","26 à 40 ans","Smartphone","5","4","3","3","4","4","4","3","4","2","4","2","5","5","1","5","5","5","5"
"1gPgZp","OdQeGg","2024-09-19 11:37:53","26 à 40 ans","Ordinateur","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Oe1KQ8","kKbQyR","2024-09-19 11:38:19","26 à 40 ans","Smartphone","5","5","5","5","5","5","5","5","5","5","5","1","5","5","NA","5","5","5","5"
"R6KQG4","aKOPLv","2024-09-19 11:45:08","26 à 40 ans","Smartphone","5","5","5","5","5","5","5","5","5","5","5","1","5","5","5","5","5","5","5"
"Qa29b8","WDJ69j","2024-09-19 11:58:51","26 à 40 ans","Smartphone","5","5","5","5","5","5","5","5","5","5","5","1","5","5","1","5","5","5","3"
"oabbVX","Zv9Mko","2024-09-19 13:18:21","26 à 40 ans","Ordinateur","5","5","5","5","5","5","5","5","4","5","5","1","5","5","1","5","5","5","5"
"q74dK7","Zv85oa","2024-09-19 14:16:06","0 à 25 ans","Smartphone","5","4","5","4","4","4","4","3","4","4","4","1","4","4","1","4","3","4","4"
"9gqaKV","lKBy2B","2024-09-19 16:18:59","26 à 40 ans","Smartphone","5","5","5","5","4","4","5","4","5","5","5","1","4","4","1","4","4","4","5"
"rbjz8L","21XO7g","2024-09-19 18:09:25","26 à 40 ans","Smartphone","5","5","4","5","5","5","5","5","5","3","5","1","3","5","2","5","2","4","3"
"Erky4l","vEMqbl","2024-09-19 18:10:56","26 à 40 ans","Ordinateur","5","5","5","5","5","4","4","5","5","4","5","5","5","3","1","5","5","5","5"
"zRxa2g","Lv95AO","2024-09-19 18:15:59","0 à 25 ans","Smartphone","5","5","5","5","5","5","5","5","5","5","5","1","5","5","1","5","5","5","5"
"0gV886","OdaEqa","2024-09-19 19:28:56","26 à 40 ans","Smartphone","5","5","5","5","5","5","5","5","5","5","5","1","5","5","5","5","5","5","5"
"zREQyE","71qgBa","2024-09-19 21:16:24","26 à 40 ans","Smartphone","5","5","5","5","5","5","5","4","5","5","5","1","5","5","3","5","5","5","5"
