id;title;subtitle;image_uri;price;isbn;format;stock;description;page_count;language;publish_date
cf1599be-4b7c-4cc0-a568-faa0a840ae61;via à l'exception de résigner;simple comme lire;ha ha à la merci pressentir;2444.51;assez en bas de triste;POCKET;10556;../fake-data/blob/hipster.txt;6099;EN;2024-09-08
ebaab7e9-932a-4705-b57e-b951a7433aa1;parce que prestataire de services confesser;à partir de;en complètement dorénavant;15279.19;blême;PAPERBACK;25732;../fake-data/blob/hipster.txt;7400;EN;2024-09-08
8ed32677-d223-45ea-a551-f488e5883ce9;contre;derechef;pas mal étant donné que;4305.77;avant ding;POCKET;3132;../fake-data/blob/hipster.txt;26917;FR;2024-09-08
8d841d0e-10b6-454d-a72c-4366a62a06df;tant que sans;sitôt que;atchoum grâce à en outre de;15769.76;là;POCKET;18214;../fake-data/blob/hipster.txt;4726;FR;2024-09-08
8b5afb15-0eba-43ae-acfd-b1de5d8cd9df;chasser;assurer;délivrer;26088.98;communauté étudiante taire;POCKET;15738;../fake-data/blob/hipster.txt;23337;FR;2024-09-08
fd7f53f2-0fae-4d3b-acd7-a14a5980b400;chef tellement;ouf combler;fier;12965.33;en face de;POCKET;7584;../fake-data/blob/hipster.txt;14307;EN;2024-09-08
b3973e23-c33d-4739-8b17-e7fb15a44bba;par suite de suffisamment;concernant;exciter délégation;32668.16;signer;HARDCOVER;19628;../fake-data/blob/hipster.txt;11530;FR;2024-09-09
ba43936b-d534-4696-a9e4-f07be84b39c4;au dépens de retracer;hé;égoïste;30006.82;effectuer triathlète tout à fait;POCKET;19750;../fake-data/blob/hipster.txt;17577;FR;2024-09-09
6c1530ed-ceb5-488a-b553-81345c4f6a8e;vis-à-vie de;inviter gens;quand lectorat mal;13061.11;alors que;HARDCOVER;9118;../fake-data/blob/hipster.txt;30464;EN;2024-09-08
81a2e7e2-db6d-49f6-8edd-9d2ee4c47ba1;égoïste incognito que;sans que;triathlète pendant que triathlète;32622.61;sus énorme;POCKET;30113;../fake-data/blob/hipster.txt;29526;EN;2024-09-09
